année,pop_id,cha_id,nombre_employe
1985,pop_4,cha_4,225
1986,pop_4,cha_4,317
1987,pop_4,cha_4,389
1988,pop_4,cha_4,393
1989,pop_4,cha_4,416
1990,pop_4,cha_4,401
1991,pop_4,cha_4,343
1992,pop_4,cha_4,337
1993,pop_4,cha_4,336
1994,pop_4,cha_4,297
1995,pop_4,cha_4,328
1996,pop_4,cha_4,324
1997,pop_4,cha_4,316
1998,pop_4,cha_4,347
1999,pop_4,cha_4,342
2000,pop_4,cha_4,380
2001,pop_4,cha_4,384
2002,pop_4,cha_4,357
2003,pop_4,cha_4,341
2004,pop_4,cha_4,323
2005,pop_4,cha_4,316
2006,pop_4,cha_4,338
2007,pop_4,cha_4,377
2008,pop_4,cha_4,354
2009,pop_4,cha_4,364
2010,pop_4,cha_4,356
2011,pop_4,cha_4,339
2012,pop_4,cha_4,324
2013,pop_4,cha_4,337
2014,pop_4,cha_4,349
2015,pop_4,cha_4,381
2016,pop_4,cha_4,379
2017,pop_4,cha_4,364
2018,pop_4,cha_4,367
2019,pop_4,cha_4,360
2020,pop_4,cha_4,328
1982,pop_2,cha_4,157
1983,pop_2,cha_4,140
1984,pop_2,cha_4,136
1985,pop_2,cha_4,165
1986,pop_2,cha_4,159
1987,pop_2,cha_4,185
1988,pop_2,cha_4,213
1989,pop_2,cha_4,235
1990,pop_2,cha_4,257
1991,pop_2,cha_4,271
1992,pop_2,cha_4,308
1993,pop_2,cha_4,347
1994,pop_2,cha_4,361
1995,pop_2,cha_4,455
1996,pop_2,cha_4,469
1997,pop_2,cha_4,515
1998,pop_2,cha_4,515
1999,pop_2,cha_4,500
2000,pop_2,cha_4,541
2001,pop_2,cha_4,479
2002,pop_2,cha_4,459
2003,pop_2,cha_4,469
2004,pop_2,cha_4,470
2005,pop_2,cha_4,525
2006,pop_2,cha_4,526
2007,pop_2,cha_4,506
2008,pop_2,cha_4,503
2009,pop_2,cha_4,472
2010,pop_2,cha_4,524
2011,pop_2,cha_4,535
2012,pop_2,cha_4,533
2013,pop_2,cha_4,540
2014,pop_2,cha_4,536
2015,pop_2,cha_4,574
2016,pop_2,cha_4,568
2017,pop_2,cha_4,587
2018,pop_2,cha_4,570
2019,pop_2,cha_4,552
2020,pop_2,cha_4,488
1982,pop_5,cha_4,225
1983,pop_5,cha_4,232
1984,pop_5,cha_4,219
1985,pop_5,cha_4,223
1986,pop_5,cha_4,249
1987,pop_5,cha_4,237
1988,pop_5,cha_4,293
1989,pop_5,cha_4,327
1990,pop_5,cha_4,349
1991,pop_5,cha_4,380
1992,pop_5,cha_4,432
1993,pop_5,cha_4,521
1994,pop_5,cha_4,530
1995,pop_5,cha_4,598
1996,pop_5,cha_4,652
1997,pop_5,cha_4,673
1998,pop_5,cha_4,703
1999,pop_5,cha_4,697
2000,pop_5,cha_4,783
2001,pop_5,cha_4,754
2002,pop_5,cha_4,781
2003,pop_5,cha_4,768
2004,pop_5,cha_4,755
2005,pop_5,cha_4,773
2006,pop_5,cha_4,777
2007,pop_5,cha_4,818
